date,product_id,store_id,sales,revenue,stock,price,promo_type_1,promo_bin_1,promo_type_2,promo_bin_2,promo_discount_2,promo_discount_type_2,year,month,day,day_of_week,week_of_year,quarter
2019-08-26,P0130,S0008,0.0,0.0,23.0,14.5,PR05,low,PR02,verylow,20.0,PR02,2019,8,26,0,35,3
2019-08-26,P0130,S0010,0.0,0.0,10.0,14.5,PR05,low,PR02,verylow,20.0,PR02,2019,8,26,0,35,3
2019-08-26,P0130,S0013,0.0,0.0,10.0,14.5,PR05,low,PR02,verylow,20.0,PR02,2019,8,26,0,35,3
2019-08-26,P0130,S0015,0.0,0.0,8.0,14.5,PR05,low,PR02,verylow,20.0,PR02,2019,8,26,0,35,3
2019-08-26,P0130,S0017,0.0,0.0,10.0,14.5,PR05,low,PR02,verylow,20.0,PR02,2019,8,26,0,35,3
2019-08-26,P0130,S0020,18.0,165.85,42.0,14.5,PR05,low,PR02,verylow,20.0,PR02,2019,8,26,0,35,3
2019-08-26,P0130,S0022,0.0,0.0,7.0,14.5,PR05,low,PR02,verylow,20.0,PR02,2019,8,26,0,35,3
2019-08-26,P0130,S0023,0.0,0.0,13.0,14.5,PR05,low,PR02,verylow,20.0,PR02,2019,8,26,0,35,3
2019-08-26,P0130,S0024,0.0,0.0,5.0,14.5,PR05,low,PR02,verylow,20.0,PR02,2019,8,26,0,35,3
2019-08-26,P0130,S0028,4.0,39.92,16.0,14.5,PR05,low,PR02,verylow,20.0,PR02,2019,8,26,0,35,3
2019-08-26,P0130,S0031,2.0,18.42,7.0,14.5,PR05,low,PR02,verylow,20.0,PR02,2019,8,26,0,35,3
2019-08-26,P0130,S0038,2.0,21.5,5.0,14.5,PR05,low,PR02,verylow,20.0,PR02,2019,8,26,0,35,3
2019-08-26,P0130,S0042,0.0,0.0,1.0,14.5,PR05,low,PR02,verylow,20.0,PR02,2019,8,26,0,35,3
2019-08-26,P0130,S0048,1.0,9.21,9.0,14.5,PR05,low,PR02,verylow,20.0,PR02,2019,8,26,0,35,3
2019-08-26,P0130,S0049,2.0,18.42,1.0,14.5,PR05,low,PR02,verylow,20.0,PR02,2019,8,26,0,35,3
2019-08-26,P0130,S0050,1.0,9.21,8.0,14.5,PR05,low,PR02,verylow,20.0,PR02,2019,8,26,0,35,3
2019-08-26,P0130,S0055,0.0,0.0,12.0,14.5,PR05,low,PR02,verylow,20.0,PR02,2019,8,26,0,35,3
2019-08-26,P0130,S0056,0.0,0.0,10.0,14.5,PR05,low,PR02,verylow,20.0,PR02,2019,8,26,0,35,3
